cnty_fips,Bucket,cnty_name,state,st,hospitals,icu_beds,X.1,X.2
01001,3,Autauga,Alabama,AL,1,6,null,null
01003,3,Baldwin,Alabama,AL,3,51,null,null
01005,3,Barbour,Alabama,AL,1,5,null,null
01007,2,Bibb,Alabama,AL,1,0,null,null
01009,3,Blount,Alabama,AL,1,6,null,null
01011,2,Bullock,Alabama,AL,1,0,null,null
01013,3,Butler,Alabama,AL,1,7,null,null
01015,3,Calhoun,Alabama,AL,2,24,null,null
01017,1,Chambers,Alabama,AL,0,0,null,null
01019,2,Cherokee,Alabama,AL,1,0,null,null
01021,3,Chilton,Alabama,AL,1,6,null,null
01023,2,Choctaw,Alabama,AL,1,0,null,null
01025,2,Clarke,Alabama,AL,2,0,null,null
01027,3,Clay,Alabama,AL,1,4,null,null
01029,1,Cleburne,Alabama,AL,0,0,null,null
01031,3,Coffee,Alabama,AL,1,7,null,null
01033,3,Colbert,Alabama,AL,2,22,null,null
01035,2,Conecuh,Alabama,AL,1,0,null,null
01037,1,Coosa,Alabama,AL,0,0,null,null
01039,3,Covington,Alabama,AL,2,13,null,null
01041,2,Crenshaw,Alabama,AL,1,0,null,null
01043,3,Cullman,Alabama,AL,1,12,null,null
01045,3,Dale,Alabama,AL,1,6,null,null
01047,3,Dallas,Alabama,AL,1,18,null,null
01049,3,DeKalb,Alabama,AL,1,12,null,null
01051,3,Elmore,Alabama,AL,2,5,null,null
01053,3,Escambia,Alabama,AL,2,14,null,null
01055,3,Etowah,Alabama,AL,2,56,null,null
01057,3,Fayette,Alabama,AL,2,12,null,null
01059,3,Franklin,Alabama,AL,2,7,null,null
01061,3,Geneva,Alabama,AL,1,6,null,null
01063,2,Greene,Alabama,AL,1,0,null,null
01065,2,Hale,Alabama,AL,1,0,null,null
01067,1,Henry,Alabama,AL,0,0,null,null
01069,3,Houston,Alabama,AL,2,66,null,null
01071,3,Jackson,Alabama,AL,1,10,null,null
01073,3,Jefferson,Alabama,AL,8,471,null,null
01075,1,Lamar,Alabama,AL,0,0,null,null
01077,3,Lauderdale,Alabama,AL,1,48,null,null
01079,3,Lawrence,Alabama,AL,1,6,null,null
01081,3,Lee,Alabama,AL,1,28,null,null
01083,3,Limestone,Alabama,AL,1,10,null,null
01085,1,Lowndes,Alabama,AL,0,0,null,null
01087,1,Macon,Alabama,AL,0,0,null,null
01089,3,Madison,Alabama,AL,2,100,null,null
01091,3,Marengo,Alabama,AL,1,5,null,null
01093,3,Marion,Alabama,AL,1,4,null,null
01095,3,Marshall,Alabama,AL,1,20,null,null
01097,3,Mobile,Alabama,AL,4,157,null,null
01099,3,Monroe,Alabama,AL,1,8,null,null
01101,3,Montgomery,Alabama,AL,3,88,null,null
01103,3,Morgan,Alabama,AL,1,34,null,null
01105,1,Perry,Alabama,AL,0,0,null,null
01107,3,Pickens,Alabama,AL,1,4,null,null
01109,3,Pike,Alabama,AL,1,9,null,null
01111,2,Randolph,Alabama,AL,1,0,null,null
01113,3,Russell,Alabama,AL,1,8,null,null
01115,3,St. Clair,Alabama,AL,1,6,null,null
01117,3,Shelby,Alabama,AL,1,32,null,null
01119,2,Sumter,Alabama,AL,1,0,null,null
01121,3,Talladega,Alabama,AL,2,14,null,null
01123,3,Tallapoosa,Alabama,AL,2,6,null,null
01125,3,Tuscaloosa,Alabama,AL,1,84,null,null
